date,precip_mm,location,latitude,longitude,source,region
2015-01-01,2.11,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-02,0.16,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-03,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-04,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-05,1.04,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-06,5.64,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-07,7.5,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-08,35.79,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-09,9.55,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-10,6.13,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-11,6.13,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-12,0.09,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-13,0.02,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-14,0.15,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-15,0.04,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-16,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-17,0.17,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-18,0.24,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-19,0.4,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-20,0.15,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-21,0.51,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-22,0.3,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-23,0.68,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-24,1.32,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-25,0.21,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-26,1.55,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-27,0.48,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-28,0.09,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-29,0.69,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-30,0.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-01-31,0.04,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-01,0.03,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-02,2.35,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-03,4.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-04,5.04,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-05,0.45,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-06,3.57,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-07,1.17,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-08,0.03,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-09,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-10,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-11,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-12,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-13,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-14,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-15,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-16,0.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-17,7.12,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-18,9.06,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-19,16.58,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-20,0.04,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-21,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-22,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-23,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-24,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-25,0.1,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-26,1.32,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-27,0.4,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-02-28,0.05,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-01,0.18,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-02,1.71,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-03,0.83,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-04,1.95,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-05,3.19,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-06,1.13,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-07,7.17,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-08,6.69,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-09,11.75,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-10,10.09,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-11,12.89,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-12,3.6,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-13,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-14,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-15,8.23,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-16,5.66,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-17,0.0,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-18,0.85,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-19,2.95,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-20,1.33,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-21,2.2,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-22,4.56,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-23,2.44,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-24,0.53,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-25,1.33,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
2015-03-26,1.21,Johor,1.86,103.11,https://power.larc.nasa.gov/api/temporal/daily/point,malaysia_palm
