date,value,unit,source,published_at,vintage,region,note
2025-01-31,1.15,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB Jan-Jul 2025 and 2026 comparison table; not point-in-time safe before vintage date
2025-02-28,1.06,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-03-31,1.20,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-04-30,1.48,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-05-31,1.49,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-06-30,1.45,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-07-31,1.54,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-08-31,1.63,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-09-30,1.65,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-10-31,1.80,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-11-30,1.69,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2025-12-31,1.61,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,Backfilled from MPOB comparison table
2026-01-31,1.38,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
2026-02-28,1.14,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
2026-03-31,1.18,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
2026-04-30,1.34,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
2026-05-31,1.27,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
2026-06-30,1.41,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
2026-07-31,1.54,tonnes_per_hectare,https://bepi.mpob.gov.my/index.php/component/content/article/1241-ffb-yield-crude-palm-oil-yield-of-oil-palm-estates-2026?Itemid=482&catid=339,2026-08-10,2026-08-10,Malaysia,MPOB Jan-Jul 2026 table
