date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2015-12-31,43735,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2016-12-31,41326,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2017-12-31,50936,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2018-12-31,52192,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2019-12-31,47183,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2020-12-31,49615,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2021-12-31,47076,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2022-12-31,45555,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2023-12-31,44824,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2024-12-31,42252,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
2025-12-31,43523,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010514,全球:期末库存量:糖
