date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2015-12-31,169798,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2016-12-31,169924,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2017-12-31,174413,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2018-12-31,172780,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2019-12-31,172137,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2020-12-31,172150,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2021-12-31,175313,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2022-12-31,177530,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2023-12-31,177637,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2024-12-31,176004,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
2025-12-31,180469,1000 tonnes,U.S. Department of Agriculture,2026-06-02,2026-08-17,S5010513,全球:总消费量:糖
