date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2015-01-31,61.35,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-02-28,59.28,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-03-31,52.42,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-04-30,28.23,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-05-31,4.35,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-06-30,0.25,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-07-31,0.3,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-08-31,0.9,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-09-30,1.07,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-10-31,1.87,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-11-30,21.5,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2015-12-31,57.3,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-01-31,62.33,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-02-29,56.72,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-03-31,37.37,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-04-30,9.73,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-05-31,1.32,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-06-30,0.43,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-07-31,0.54,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-08-31,1.19,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-09-30,0.95,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-10-31,1.19,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-11-30,26.63,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2016-12-31,54.09,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2017-01-31,46.68,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2017-02-28,34.17,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2017-03-31,26.12,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2017-04-30,10.51,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
2017-05-31,1.11,100kt,ChiniMandi,2026-07-31,2026-08-17,Z9808072,印度:食糖产量
