date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2015-01-31,1191776,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-02-28,972646,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-03-31,1182209,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-04-30,1177822,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-05-31,1625592,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-06-30,1697169,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-07-31,1609902,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-08-31,1608232,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-09-30,1680649,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-10-31,1711891,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-11-30,1499517,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2015-12-31,1483214,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-01-31,1279187,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-02-29,1088864,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-03-31,1335934,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-04-30,1172915,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-05-31,1282453,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-06-30,1141832,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-07-31,1384720,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-08-31,1824437,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-09-30,1461173,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-10-31,1436070,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-11-30,1370411,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2016-12-31,1267941,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-01-31,1287782,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-02-28,1107768,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-03-31,1265800,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-04-30,1284120,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-05-31,1506145,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-06-30,1379888,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-07-31,1399107,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-08-31,1488211,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
2017-09-30,1519284,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022955,马来西亚:出口数量:棕榈油
