date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2015-01-31,1761895,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-02-28,1736159,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-03-31,1858392,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-04-30,2182012,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-05-31,2239486,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-06-30,2141910,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-07-31,2257897,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-08-31,2491966,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-09-30,2641292,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-10-31,2835348,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-11-30,2910929,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2015-12-31,2633940,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-01-31,2308778,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-02-29,2170341,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-03-31,1885631,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-04-30,1804495,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-05-31,1649859,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-06-30,1774625,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-07-31,1770367,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-08-31,1464081,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-09-30,1546758,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-10-31,1574471,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-11-30,1663728,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2016-12-31,1666673,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-01-31,1541088,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-02-28,1459361,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-03-31,1553219,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-04-30,1600126,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-05-31,1557354,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-06-30,1526839,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-07-31,1784369,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-08-31,1941717,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-09-30,2015922,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-10-31,2203383,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-11-30,2553739,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2017-12-31,2732093,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-01-31,2548712,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-02-28,2476453,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-03-31,2339953,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-04-30,2194102,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-05-31,2193257,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-06-30,2187035,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-07-31,2231542,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-08-31,2504915,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-09-30,2529447,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-10-31,2722661,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-11-30,3007086,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2018-12-31,3215052,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-01-31,3002871,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-02-28,3056948,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-03-31,2920377,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-04-30,2726910,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-05-31,2444458,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-06-30,2410828,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-07-31,2378272,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-08-31,2240491,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-09-30,2448484,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-10-31,2352279,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-11-30,2255082,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2019-12-31,2010527,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-01-31,1755417,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-02-29,1700261,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-03-31,1729592,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-04-30,2044498,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-05-31,2029579,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-06-30,1898372,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-07-31,1699171,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-08-31,1702809,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-09-30,1721802,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-10-31,1573389,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-11-30,1562317,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2020-12-31,1265698,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-01-31,1324639,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-02-28,1306022,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-03-31,1443916,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-04-30,1545905,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-05-31,1569418,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-06-30,1614226,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-07-31,1498269,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-08-31,1877773,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-09-30,1756404,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-10-31,1834568,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-11-30,1817061,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2021-12-31,1614594,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-01-31,1552477,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-02-28,1519412,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-03-31,1474338,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-04-30,1643974,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-05-31,1523308,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-06-30,1645836,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-07-31,1774308,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-08-31,2094678,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-09-30,2318202,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-10-31,2411113,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-11-30,2291291,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2022-12-31,2196574,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-01-31,2268198,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-02-28,2119854,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-03-31,1674022,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-04-30,1497877,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-05-31,1690204,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-06-30,1718771,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-07-31,1733900,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-08-31,2110980,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-09-30,2312329,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-10-31,2447038,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-11-30,2402611,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2023-12-31,2290793,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-01-31,2020191,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-02-29,1920113,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-03-31,1712554,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-04-30,1744695,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-05-31,1753469,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-06-30,1831239,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-07-31,1754384,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-08-31,1883328,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-09-30,2011768,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-10-31,1885194,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-11-30,1835641,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2024-12-31,1708756,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-01-31,1580934,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-02-28,1509942,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-03-31,1563831,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-04-30,1865536,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-05-31,1982895,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-06-30,2031249,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-07-31,2113881,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-08-31,2201618,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-09-30,2359572,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-10-31,2508396,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-11-30,2835578,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2025-12-31,3051147,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-01-31,2814849,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-02-28,2703521,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-03-31,2270574,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-04-30,2308944,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-05-31,2427972,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-06-30,2543830,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
2026-07-31,2628325,tonnes,Malaysian Palm Oil Board,2026-08-10,2026-08-17,S5022948,马来西亚:库存:棕榈油
