date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2015-01-01,564314314,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-01-16,565533360,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-02-01,566354486,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-02-16,566818561,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-03-01,567018402,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-03-16,567311017,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-04-01,573144997,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-04-16,13045798,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-05-01,40163462,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-05-16,68834754,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-06-01,109360654,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-06-16,149018051,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-07-01,195794905,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-07-16,225197229,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-08-01,274865024,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-08-16,322673330,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-09-01,370154202,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-09-16,399846191,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-10-01,440495574,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-10-16,476812027,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-11-01,515461995,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-11-16,541164156,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-12-01,560006355,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
2015-12-16,577999118,tonnes,Brazilian Sugarcane and Bioenergy Industry Association,2026-08-07,2026-08-17,S5201214,巴西中南部:甘蔗压榨量
