date,value,unit,source,published_at,vintage,indicator_code,indicator_name
2024-02-15,50.17,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-03-15,28.91,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-03-31,35.86,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-04-15,44.79,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-04-30,52.94,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-05-15,57.34,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-05-31,59.77,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-06-15,63.69,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-06-30,66.71,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-07-15,68.19,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-07-31,70.62,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-08-15,70.8,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-08-31,72.43,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-09-15,72.81,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-09-30,72.91,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-10-15,72.3,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-10-31,65.29,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-11-15,55.11,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-11-30,53.28,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-12-15,40.43,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2024-12-31,38.4,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-01-15,35.81,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-01-31,30.59,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-02-15,29.52,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-03-15,28.38,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-03-31,45.87,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-04-15,44.03,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-04-30,47.86,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-05-15,56.91,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-05-31,61.91,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-06-15,63.18,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-06-30,66.61,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-07-15,68.37,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-07-31,71.97,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-08-15,75.9,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-08-31,77.35,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-09-15,78.79,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-09-30,76.79,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-10-15,72.98,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-10-31,66.46,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-11-15,52.39,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-11-30,45.27,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-12-15,42.88,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2025-12-31,25.81,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2026-01-15,12.1,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2026-01-31,7.66,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2026-03-15,4.6,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2026-03-31,23.63,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2026-04-30,44.93,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
2026-05-31,52.98,pct,Brazilian Sugarcane Industry and Bioenergy Association,2026-06-25,2026-08-17,W5495204,巴西:中南部地区:制糖比(榨季)
