ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
P1501.DCE,P1501,DCE,棕榈油1501,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-01-16,2015-01-16,201501,20150121
P1502.DCE,P1502,DCE,棕榈油1502,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-02-21,2015-02-13,201502,20150225
P1503.DCE,P1503,DCE,棕榈油1503,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-03-17,2015-03-13,201503,20150318
P1504.DCE,P1504,DCE,棕榈油1504,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-04-16,2015-04-15,201504,20150420
P1505.DCE,P1505,DCE,棕榈油1505,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-05-19,2015-05-15,201505,20150520
P1506.DCE,P1506,DCE,棕榈油1506,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-06-17,2015-06-12,201506,20150617
P1507.DCE,P1507,DCE,棕榈油1507,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-07-15,2015-07-14,201507,20150717
P1508.DCE,P1508,DCE,棕榈油1508,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-08-15,2015-08-14,201508,20150819
P1509.DCE,P1509,DCE,棕榈油1509,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-09-16,2015-09-16,201509,20150921
P1510.DCE,P1510,DCE,棕榈油1510,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-10-22,2015-10-21,201510,20151026
P1511.DCE,P1511,DCE,棕榈油1511,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-11-17,2015-11-13,201511,20151118
P1512.DCE,P1512,DCE,棕榈油1512,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-12-15,2015-12-14,201512,20151217
P1601.DCE,P1601,DCE,棕榈油1601,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-01-19,2016-01-15,201601,20160120
P1602.DCE,P1602,DCE,棕榈油1602,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-02-16,2016-02-19,201602,20160224
P1603.DCE,P1603,DCE,棕榈油1603,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-03-16,2016-03-14,201603,20160317
P1604.DCE,P1604,DCE,棕榈油1604,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-04-16,2016-04-15,201604,20160420
P1605.DCE,P1605,DCE,棕榈油1605,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-05-18,2016-05-16,201605,20160519
P1606.DCE,P1606,DCE,棕榈油1606,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-06-15,2016-06-16,201606,20160621
P1607.DCE,P1607,DCE,棕榈油1607,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-07-15,2016-07-14,201607,20160719
P1608.DCE,P1608,DCE,棕榈油1608,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-08-17,2016-08-12,201608,20160817
P1609.DCE,P1609,DCE,棕榈油1609,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-09-17,2016-09-14,201609,20160921
P1610.DCE,P1610,DCE,棕榈油1610,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-10-22,2016-10-21,201610,20161026
P1611.DCE,P1611,DCE,棕榈油1611,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-11-16,2016-11-14,201611,20161117
P1612.DCE,P1612,DCE,棕榈油1612,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-12-15,2016-12-14,201612,20161219
P1701.DCE,P1701,DCE,棕榈油1701,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-01-18,2017-01-16,201701,20170119
P1702.DCE,P1702,DCE,棕榈油1702,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-02-22,2017-02-16,201702,20170221
P1703.DCE,P1703,DCE,棕榈油1703,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-03-15,2017-03-14,201703,20170317
P1704.DCE,P1704,DCE,棕榈油1704,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-04-18,2017-04-18,201704,20170421
P1705.DCE,P1705,DCE,棕榈油1705,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-05-17,2017-05-15,201705,20170518
P1706.DCE,P1706,DCE,棕榈油1706,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-06-17,2017-06-14,201706,20170619
P1707.DCE,P1707,DCE,棕榈油1707,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-07-15,2017-07-14,201707,20170719
P1708.DCE,P1708,DCE,棕榈油1708,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-08-15,2017-08-14,201708,20170817
P1709.DCE,P1709,DCE,棕榈油1709,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-09-19,2017-09-14,201709,20170919
P1710.DCE,P1710,DCE,棕榈油1710,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-10-24,2017-10-20,201710,20171025
P1711.DCE,P1711,DCE,棕榈油1711,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-11-15,2017-11-14,201711,20171117
P1712.DCE,P1712,DCE,棕榈油1712,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-12-15,2017-12-14,201712,20171219
P1801.DCE,P1801,DCE,棕榈油1801,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-01-17,2018-01-15,201801,20180118
P1802.DCE,P1802,DCE,棕榈油1802,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-02-17,2018-02-14,201802,20180226
P1803.DCE,P1803,DCE,棕榈油1803,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-03-15,2018-03-14,201803,20180319
P1804.DCE,P1804,DCE,棕榈油1804,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-04-19,2018-04-17,201804,20180420
P1805.DCE,P1805,DCE,棕榈油1805,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-05-16,2018-05-15,201805,20180518
P1806.DCE,P1806,DCE,棕榈油1806,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-06-15,2018-06-14,201806,20180620
P1807.DCE,P1807,DCE,棕榈油1807,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-07-17,2018-07-13,201807,20180718
P1808.DCE,P1808,DCE,棕榈油1808,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-08-15,2018-08-14,201808,20180817
P1809.DCE,P1809,DCE,棕榈油1809,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-09-15,2018-09-14,201809,20180919
P1810.DCE,P1810,DCE,棕榈油1810,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-10-23,2018-10-19,201810,20181024
P1811.DCE,P1811,DCE,棕榈油1811,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-11-15,2018-11-14,201811,20181119
P1812.DCE,P1812,DCE,棕榈油1812,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-12-15,2018-12-14,201812,20181219
P1901.DCE,P1901,DCE,棕榈油1901,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-01-16,2019-01-15,201901,20190118
P1902.DCE,P1902,DCE,棕榈油1902,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-02-22,2019-02-21,201902,20190226
P1903.DCE,P1903,DCE,棕榈油1903,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-03-15,2019-03-14,201903,20190319
P1904.DCE,P1904,DCE,棕榈油1904,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-04-18,2019-04-15,201904,20190418
P1905.DCE,P1905,DCE,棕榈油1905,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-05-16,2019-05-17,201905,20190522
P1906.DCE,P1906,DCE,棕榈油1906,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-06-15,2019-06-17,201906,20190620
P1907.DCE,P1907,DCE,棕榈油1907,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-07-16,2019-07-12,201907,20190717
P1908.DCE,P1908,DCE,棕榈油1908,P,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-08-15,2019-08-14,201908,20190819
