date,symbol,contract,open,high,low,close,settle,volume,open_interest,provider
2015-01-05,P,P1504.DCE,,,,5110.0,5110.0,0.0,8.0,tushare_contract
2015-01-05,P,P1508.DCE,,,,5096.0,5096.0,0.0,4.0,tushare_contract
2015-01-05,P,P1507.DCE,,,,5074.0,5074.0,0.0,10.0,tushare_contract
2015-01-05,P,P1510.DCE,,,,5092.0,5092.0,0.0,2.0,tushare_contract
2015-01-05,P,P1502.DCE,,,,4972.0,4972.0,0.0,6.0,tushare_contract
2015-01-05,P,P1503.DCE,,,,5060.0,5060.0,0.0,14.0,tushare_contract
2015-01-05,P,P1511.DCE,5152.0,5152.0,5144.0,5144.0,5148.0,4.0,10.0,tushare_contract
2015-01-05,P,P1501.DCE,4880.0,4880.0,4800.0,4816.0,4828.0,1262.0,15166.0,tushare_contract
2015-01-05,P,P1509.DCE,5080.0,5120.0,5052.0,5076.0,5090.0,17488.0,69180.0,tushare_contract
2015-01-05,P,P1506.DCE,5068.0,5068.0,5068.0,5068.0,5068.0,2.0,28.0,tushare_contract
2015-01-05,P,P1505.DCE,5048.0,5052.0,4982.0,5006.0,5020.0,240460.0,532642.0,tushare_contract
2015-01-05,P,P1512.DCE,,,,5112.0,5112.0,0.0,2.0,tushare_contract
2015-01-06,P,P1506.DCE,5042.0,5094.0,5042.0,5094.0,5052.0,10.0,28.0,tushare_contract
2015-01-06,P,P1509.DCE,5050.0,5112.0,5050.0,5096.0,5084.0,45314.0,74486.0,tushare_contract
2015-01-06,P,P1502.DCE,,,,4972.0,4972.0,0.0,6.0,tushare_contract
2015-01-06,P,P1503.DCE,,,,5060.0,5060.0,0.0,14.0,tushare_contract
2015-01-06,P,P1512.DCE,,,,5108.0,5108.0,0.0,2.0,tushare_contract
2015-01-06,P,P1507.DCE,,,,5058.0,5058.0,0.0,10.0,tushare_contract
2015-01-06,P,P1505.DCE,5000.0,5050.0,4984.0,5038.0,5022.0,393316.0,525292.0,tushare_contract
2015-01-06,P,P1508.DCE,,,,5096.0,5096.0,0.0,4.0,tushare_contract
2015-01-06,P,P1504.DCE,5044.0,5044.0,5044.0,5044.0,5044.0,2.0,10.0,tushare_contract
2015-01-06,P,P1510.DCE,,,,5092.0,5092.0,0.0,2.0,tushare_contract
2015-01-06,P,P1501.DCE,,,,4828.0,4828.0,0.0,15166.0,tushare_contract
2015-01-06,P,P1511.DCE,5122.0,5188.0,5122.0,5144.0,5142.0,20.0,14.0,tushare_contract
2015-01-07,P,P1507.DCE,,,,5058.0,5058.0,0.0,10.0,tushare_contract
2015-01-07,P,P1509.DCE,5092.0,5124.0,4982.0,5084.0,5084.0,43046.0,73650.0,tushare_contract
2015-01-07,P,P1503.DCE,,,,5100.0,5100.0,0.0,14.0,tushare_contract
2015-01-07,P,P1506.DCE,,,,5052.0,5052.0,0.0,28.0,tushare_contract
2015-01-07,P,P1504.DCE,5060.0,5060.0,5060.0,5060.0,5060.0,2.0,8.0,tushare_contract
2015-01-07,P,P1505.DCE,5040.0,5066.0,5004.0,5026.0,5032.0,342328.0,519712.0,tushare_contract
2015-01-07,P,P1510.DCE,,,,5092.0,5092.0,0.0,2.0,tushare_contract
2015-01-07,P,P1502.DCE,5162.0,5162.0,4852.0,5012.0,5012.0,8.0,6.0,tushare_contract
2015-01-07,P,P1508.DCE,,,,5106.0,5106.0,0.0,4.0,tushare_contract
2015-01-07,P,P1501.DCE,4820.0,4832.0,4820.0,4824.0,4828.0,222.0,15004.0,tushare_contract
2015-01-07,P,P1512.DCE,,,,5146.0,5146.0,0.0,2.0,tushare_contract
2015-01-07,P,P1511.DCE,5178.0,5188.0,5178.0,5188.0,5182.0,4.0,14.0,tushare_contract
2015-01-08,P,P1510.DCE,,,,5092.0,5092.0,0.0,2.0,tushare_contract
2015-01-08,P,P1501.DCE,4828.0,4906.0,4828.0,4906.0,4884.0,100.0,15004.0,tushare_contract
2015-01-08,P,P1507.DCE,,,,5058.0,5058.0,0.0,10.0,tushare_contract
2015-01-08,P,P1506.DCE,5122.0,5122.0,5090.0,5114.0,5106.0,16.0,24.0,tushare_contract
2015-01-08,P,P1511.DCE,5224.0,5224.0,5174.0,5180.0,5192.0,6.0,12.0,tushare_contract
2015-01-08,P,P1503.DCE,,,,5158.0,5158.0,0.0,14.0,tushare_contract
2015-01-08,P,P1509.DCE,5100.0,5148.0,5094.0,5118.0,5120.0,39498.0,74628.0,tushare_contract
2015-01-08,P,P1505.DCE,5070.0,5088.0,5038.0,5062.0,5062.0,473784.0,529996.0,tushare_contract
2015-01-08,P,P1512.DCE,5212.0,5212.0,5118.0,5172.0,5162.0,114.0,2.0,tushare_contract
2015-01-08,P,P1502.DCE,,,,5070.0,5070.0,0.0,6.0,tushare_contract
2015-01-08,P,P1508.DCE,,,,5106.0,5106.0,0.0,4.0,tushare_contract
