ts_code,trade_date,mapping_ts_code
P.DCE,2015-01-05,P1505.DCE
P.DCE,2015-01-06,P1505.DCE
P.DCE,2015-01-07,P1505.DCE
P.DCE,2015-01-08,P1505.DCE
P.DCE,2015-01-09,P1505.DCE
P.DCE,2015-01-12,P1505.DCE
P.DCE,2015-01-13,P1505.DCE
P.DCE,2015-01-14,P1505.DCE
P.DCE,2015-01-15,P1505.DCE
P.DCE,2015-01-16,P1505.DCE
P.DCE,2015-01-19,P1505.DCE
P.DCE,2015-01-20,P1505.DCE
P.DCE,2015-01-21,P1505.DCE
P.DCE,2015-01-22,P1505.DCE
P.DCE,2015-01-23,P1505.DCE
P.DCE,2015-01-26,P1505.DCE
P.DCE,2015-01-27,P1505.DCE
P.DCE,2015-01-28,P1505.DCE
P.DCE,2015-01-29,P1505.DCE
P.DCE,2015-01-30,P1505.DCE
P.DCE,2015-02-02,P1505.DCE
P.DCE,2015-02-03,P1505.DCE
P.DCE,2015-02-04,P1505.DCE
P.DCE,2015-02-05,P1505.DCE
P.DCE,2015-02-06,P1505.DCE
P.DCE,2015-02-09,P1505.DCE
P.DCE,2015-02-10,P1505.DCE
P.DCE,2015-02-11,P1505.DCE
P.DCE,2015-02-12,P1505.DCE
P.DCE,2015-02-13,P1505.DCE
P.DCE,2015-02-16,P1505.DCE
P.DCE,2015-02-17,P1505.DCE
P.DCE,2015-02-25,P1505.DCE
P.DCE,2015-02-26,P1505.DCE
P.DCE,2015-02-27,P1505.DCE
P.DCE,2015-03-02,P1505.DCE
P.DCE,2015-03-03,P1505.DCE
P.DCE,2015-03-04,P1505.DCE
P.DCE,2015-03-05,P1509.DCE
P.DCE,2015-03-06,P1509.DCE
P.DCE,2015-03-09,P1509.DCE
P.DCE,2015-03-10,P1509.DCE
P.DCE,2015-03-11,P1509.DCE
P.DCE,2015-03-12,P1509.DCE
P.DCE,2015-03-13,P1509.DCE
P.DCE,2015-03-16,P1509.DCE
P.DCE,2015-03-17,P1509.DCE
P.DCE,2015-03-18,P1509.DCE
P.DCE,2015-03-19,P1509.DCE
P.DCE,2015-03-20,P1509.DCE
P.DCE,2015-03-23,P1509.DCE
P.DCE,2015-03-24,P1509.DCE
P.DCE,2015-03-25,P1509.DCE
P.DCE,2015-03-26,P1509.DCE
P.DCE,2015-03-27,P1509.DCE
P.DCE,2015-03-30,P1509.DCE
P.DCE,2015-03-31,P1509.DCE
P.DCE,2015-04-01,P1509.DCE
P.DCE,2015-04-02,P1509.DCE
P.DCE,2015-04-03,P1509.DCE
P.DCE,2015-04-07,P1509.DCE
P.DCE,2015-04-08,P1509.DCE
P.DCE,2015-04-09,P1509.DCE
P.DCE,2015-04-10,P1509.DCE
P.DCE,2015-04-13,P1509.DCE
P.DCE,2015-04-14,P1509.DCE
P.DCE,2015-04-15,P1509.DCE
P.DCE,2015-04-16,P1509.DCE
P.DCE,2015-04-17,P1509.DCE
P.DCE,2015-04-20,P1509.DCE
P.DCE,2015-04-21,P1509.DCE
P.DCE,2015-04-22,P1509.DCE
P.DCE,2015-04-23,P1509.DCE
P.DCE,2015-04-24,P1509.DCE
P.DCE,2015-04-27,P1509.DCE
P.DCE,2015-04-28,P1509.DCE
P.DCE,2015-04-29,P1509.DCE
P.DCE,2015-04-30,P1509.DCE
P.DCE,2015-05-04,P1509.DCE
P.DCE,2015-05-05,P1509.DCE
P.DCE,2015-05-06,P1509.DCE
P.DCE,2015-05-07,P1509.DCE
P.DCE,2015-05-08,P1509.DCE
P.DCE,2015-05-11,P1509.DCE
P.DCE,2015-05-12,P1509.DCE
P.DCE,2015-05-13,P1509.DCE
P.DCE,2015-05-14,P1509.DCE
P.DCE,2015-05-15,P1509.DCE
P.DCE,2015-05-18,P1509.DCE
P.DCE,2015-05-19,P1509.DCE
P.DCE,2015-05-20,P1509.DCE
P.DCE,2015-05-21,P1509.DCE
P.DCE,2015-05-22,P1509.DCE
P.DCE,2015-05-25,P1509.DCE
P.DCE,2015-05-26,P1509.DCE
P.DCE,2015-05-27,P1509.DCE
P.DCE,2015-05-28,P1509.DCE
P.DCE,2015-05-29,P1509.DCE
P.DCE,2015-06-01,P1509.DCE
P.DCE,2015-06-02,P1509.DCE
P.DCE,2015-06-03,P1509.DCE
P.DCE,2015-06-04,P1601.DCE
P.DCE,2015-06-05,P1601.DCE
P.DCE,2015-06-08,P1601.DCE
P.DCE,2015-06-09,P1601.DCE
P.DCE,2015-06-10,P1601.DCE
P.DCE,2015-06-11,P1601.DCE
P.DCE,2015-06-12,P1601.DCE
P.DCE,2015-06-15,P1601.DCE
P.DCE,2015-06-16,P1601.DCE
P.DCE,2015-06-17,P1601.DCE
P.DCE,2015-06-18,P1601.DCE
P.DCE,2015-06-19,P1601.DCE
P.DCE,2015-06-23,P1601.DCE
P.DCE,2015-06-24,P1601.DCE
P.DCE,2015-06-25,P1601.DCE
P.DCE,2015-06-26,P1601.DCE
P.DCE,2015-06-29,P1601.DCE
P.DCE,2015-06-30,P1601.DCE
P.DCE,2015-07-01,P1601.DCE
P.DCE,2015-07-02,P1601.DCE
P.DCE,2015-07-03,P1601.DCE
P.DCE,2015-07-06,P1601.DCE
P.DCE,2015-07-07,P1601.DCE
P.DCE,2015-07-08,P1601.DCE
P.DCE,2015-07-09,P1601.DCE
P.DCE,2015-07-10,P1601.DCE
P.DCE,2015-07-13,P1601.DCE
P.DCE,2015-07-14,P1601.DCE
