ts_code,symbol,exchange,name,fut_code,multiplier,trade_unit,per_unit,quote_unit,quote_unit_desc,d_mode_desc,list_date,delist_date,d_month,last_ddate
SR1501.ZCE,SR501,CZCE,白糖1501,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2013-07-15,2015-01-16,201501,20150120
SR1503.ZCE,SR503,CZCE,白糖1503,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2013-09-16,2015-03-13,201503,20150317
SR1505.ZCE,SR505,CZCE,白糖1505,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2013-11-15,2015-05-15,201505,20150519
SR1507.ZCE,SR507,CZCE,白糖1507,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-01-16,2015-07-14,201507,20150716
SR1509.ZCE,SR509,CZCE,白糖1509,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-03-17,2015-09-16,201509,20150918
SR1511.ZCE,SR511,CZCE,白糖1511,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-05-19,2015-11-13,201511,20151117
SR1601.ZCE,SR601,CZCE,白糖1601,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-07-15,2016-01-15,201601,20160119
SR1603.ZCE,SR603,CZCE,白糖1603,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-09-16,2016-03-14,201603,20160316
SR1605.ZCE,SR605,CZCE,白糖1605,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2014-11-17,2016-05-16,201605,20160518
SR1607.ZCE,SR607,CZCE,白糖1607,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-01-19,2016-07-14,201607,20160718
SR1609.ZCE,SR609,CZCE,白糖1609,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-03-16,2016-09-14,201609,20160920
SR1611.ZCE,SR611,CZCE,白糖1611,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-05-18,2016-11-14,201611,20161116
SR1701.ZCE,SR701,CZCE,白糖1701,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-07-15,2017-01-16,201701,20170118
SR1703.ZCE,SR703,CZCE,白糖1703,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-09-17,2017-03-14,201703,20170316
SR1705.ZCE,SR705,CZCE,白糖1705,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2015-11-16,2017-05-15,201705,20170517
SR1707.ZCE,SR707,CZCE,白糖1707,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-01-18,2017-07-14,201707,20170718
SR1709.ZCE,SR709,CZCE,白糖1709,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-03-15,2017-09-14,201709,20170918
SR1711.ZCE,SR711,CZCE,白糖1711,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-05-17,2017-11-14,201711,20171116
SR1801.ZCE,SR801,CZCE,白糖1801,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-07-15,2018-01-15,201801,20180117
SR1803.ZCE,SR803,CZCE,白糖1803,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-09-19,2018-03-14,201803,20180316
SR1805.ZCE,SR805,CZCE,白糖1805,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2016-11-15,2018-05-15,201805,20180517
SR1807.ZCE,SR807,CZCE,白糖1807,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-01-17,2018-07-13,201807,20180717
SR1809.ZCE,SR809,CZCE,白糖1809,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-03-15,2018-09-14,201809,20180918
SR1811.ZCE,SR811,CZCE,白糖1811,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-05-16,2018-11-14,201811,20181116
SR1901.ZCE,SR901,CZCE,白糖1901,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-07-17,2019-01-15,201901,20190117
SR1903.ZCE,SR903,CZCE,白糖1903,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-09-15,2019-03-14,201903,20190318
SR1905.ZCE,SR905,CZCE,白糖1905,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2017-11-15,2019-05-17,201905,20190521
SR1907.ZCE,SR907,CZCE,白糖1907,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-01-16,2019-07-12,201907,20190716
SR1909.ZCE,SR909,CZCE,白糖1909,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-03-15,2019-09-16,201909,20190918
SR1911.ZCE,SR911,CZCE,白糖1911,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2018-11-15,2019-11-14,201911,20191118
SR2001.ZCE,SR001,CZCE,白糖2001,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2019-01-16,2020-01-15,202001,20200117
SR2003.ZCE,SR003,CZCE,白糖2003,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2019-03-15,2020-03-13,202003,20200317
SR2005.ZCE,SR005,CZCE,白糖2005,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2019-05-20,2020-05-19,202005,20200521
SR2007.ZCE,SR007,CZCE,白糖2007,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2019-07-15,2020-07-14,202007,20200716
SR2009.ZCE,SR009,CZCE,白糖2009,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2019-09-17,2020-09-14,202009,20200916
SR2011.ZCE,SR011,CZCE,白糖2011,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2019-11-15,2020-11-13,202011,20201118
SR2101.ZCE,SR101,CZCE,白糖2101,SR,,吨,10.0,人民币元/吨,1人民币元/吨,实物交割,2020-01-16,2021-01-15,202101,20210120
