ts_code,trade_date,mapping_ts_code
SR.ZCE,2015-01-05,SR1505.ZCE
SR.ZCE,2015-01-06,SR1505.ZCE
SR.ZCE,2015-01-07,SR1505.ZCE
SR.ZCE,2015-01-08,SR1505.ZCE
SR.ZCE,2015-01-09,SR1505.ZCE
SR.ZCE,2015-01-12,SR1505.ZCE
SR.ZCE,2015-01-13,SR1505.ZCE
SR.ZCE,2015-01-14,SR1505.ZCE
SR.ZCE,2015-01-15,SR1505.ZCE
SR.ZCE,2015-01-16,SR1505.ZCE
SR.ZCE,2015-01-19,SR1505.ZCE
SR.ZCE,2015-01-20,SR1505.ZCE
SR.ZCE,2015-01-21,SR1505.ZCE
SR.ZCE,2015-01-22,SR1505.ZCE
SR.ZCE,2015-01-23,SR1505.ZCE
SR.ZCE,2015-01-26,SR1505.ZCE
SR.ZCE,2015-01-27,SR1505.ZCE
SR.ZCE,2015-01-28,SR1505.ZCE
SR.ZCE,2015-01-29,SR1505.ZCE
SR.ZCE,2015-01-30,SR1505.ZCE
SR.ZCE,2015-02-02,SR1505.ZCE
SR.ZCE,2015-02-03,SR1505.ZCE
SR.ZCE,2015-02-04,SR1505.ZCE
SR.ZCE,2015-02-05,SR1505.ZCE
SR.ZCE,2015-02-06,SR1505.ZCE
SR.ZCE,2015-02-09,SR1505.ZCE
SR.ZCE,2015-02-10,SR1505.ZCE
SR.ZCE,2015-02-11,SR1505.ZCE
SR.ZCE,2015-02-12,SR1505.ZCE
SR.ZCE,2015-02-13,SR1505.ZCE
SR.ZCE,2015-02-16,SR1509.ZCE
SR.ZCE,2015-02-17,SR1509.ZCE
SR.ZCE,2015-02-25,SR1509.ZCE
SR.ZCE,2015-02-26,SR1509.ZCE
SR.ZCE,2015-02-27,SR1509.ZCE
SR.ZCE,2015-03-02,SR1509.ZCE
SR.ZCE,2015-03-03,SR1509.ZCE
SR.ZCE,2015-03-04,SR1509.ZCE
SR.ZCE,2015-03-05,SR1509.ZCE
SR.ZCE,2015-03-06,SR1509.ZCE
SR.ZCE,2015-03-09,SR1509.ZCE
SR.ZCE,2015-03-10,SR1509.ZCE
SR.ZCE,2015-03-11,SR1509.ZCE
SR.ZCE,2015-03-12,SR1509.ZCE
SR.ZCE,2015-03-13,SR1509.ZCE
SR.ZCE,2015-03-16,SR1509.ZCE
SR.ZCE,2015-03-17,SR1509.ZCE
SR.ZCE,2015-03-18,SR1509.ZCE
SR.ZCE,2015-03-19,SR1509.ZCE
SR.ZCE,2015-03-20,SR1509.ZCE
SR.ZCE,2015-03-23,SR1509.ZCE
SR.ZCE,2015-03-24,SR1509.ZCE
SR.ZCE,2015-03-25,SR1509.ZCE
SR.ZCE,2015-03-26,SR1509.ZCE
SR.ZCE,2015-03-27,SR1509.ZCE
SR.ZCE,2015-03-30,SR1509.ZCE
SR.ZCE,2015-03-31,SR1509.ZCE
SR.ZCE,2015-04-01,SR1509.ZCE
