date,close,return,signal,realized_vol,target_position,position,turnover,gross_return,cost,net_return,equity,speed
2015-01-05,5006.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-01-06,5038.0,0.006392329204954139,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-01-07,5026.0,-0.002381897578404124,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-08,5062.0,0.007162753680859613,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-01-09,5052.0,-0.0019755037534571196,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-12,5060.0,0.0015835312747427555,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-01-13,4982.0,-0.015415019762845872,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-14,4938.0,-0.00883179446005622,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-15,4956.0,0.0036452004860267895,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-01-16,4942.0,-0.0028248587570621764,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-19,4896.0,-0.009307972480776971,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-20,4888.0,-0.0016339869281045694,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-21,4894.0,0.0012274959083469206,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-01-22,4876.0,-0.003677973028197834,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-23,4870.0,-0.0012305168170632097,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-26,4838.0,-0.006570841889117052,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-27,4826.0,-0.0024803637866886996,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-28,4810.0,-0.0033153750518026825,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-29,4756.0,-0.011226611226611172,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-01-30,4652.0,-0.02186711522287632,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-02-02,4694.0,0.009028374892519286,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-03,4736.0,0.008947592671495475,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-04,4750.0,0.002956081081081141,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-05,4802.0,0.010947368421052595,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-06,4896.0,0.019575177009579336,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-09,4916.0,0.004084967320261423,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-10,4940.0,0.004882017900732283,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-11,4936.0,-0.0008097165991902688,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-02-12,4886.0,-0.010129659643435929,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-02-13,4986.0,0.020466639377814122,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-16,5000.0,0.0028078620136382515,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-17,4996.0,-0.0008000000000000229,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-02-25,4942.0,-0.010808646917534026,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-02-26,4962.0,0.004046944556859611,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-02-27,5100.0,0.027811366384522307,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-02,5164.0,0.012549019607843048,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-03,5106.0,-0.011231603408210722,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-04,5142.0,0.007050528789659172,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-05,4918.0,-0.04356281602489309,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-06,4818.0,-0.020333468889792594,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-09,4814.0,-0.0008302200083022404,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-10,4742.0,-0.014956377233070195,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-11,4742.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-12,4748.0,0.001265288907633888,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-13,4724.0,-0.005054759898904804,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-16,4650.0,-0.01566469093988143,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-17,4662.0,0.002580645161290418,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-18,4616.0,-0.009867009867009835,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-19,4738.0,0.026429809358752276,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-20,4688.0,-0.010552975939214893,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-23,4730.0,0.008959044368600733,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-24,4730.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-25,4716.0,-0.0029598308668076223,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-26,4752.0,0.007633587786259444,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
2015-03-27,4688.0,-0.013468013468013518,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-30,4664.0,-0.005119453924914641,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-03-31,4644.0,-0.004288164665523175,0.0,,,0.0,0.0,-0.0,0.0,-0.0,1.0,slow
2015-04-01,4650.0,0.0012919896640826156,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,slow
